city,name,address,rating,reviews_count,phone,website,business_type,hours,latitude,longitude,place_id,scraped_at
"Paris, France",Bike care motors,"207 Rue de la Croix Nivert, 75015 Paris, France",4.7,263,+33 1 82 83 03 84,https://bikecaremotors.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,48.8367674,2.2896403,ChIJa9VmTmpx5kcR6IT5e6565-E,2025-10-25T02:56:34.106792
"Paris, France",All Motorbike Services,"106 Av. du Bois Guimier, 94100 Saint-Maur-des-Fossés, France",4.5,47,+33 6 07 65 93 65,N/A,Motorcycle repair shop,Closed ⋅ Opens 8 AM,48.7984266,2.4853972,ChIJK9VEA-4M5kcRxeiueyVI8Bw,2025-10-25T02:56:34.106801
"Paris, France",SPEED MOTO BIKE 94 à Maison Alfort,"14 Rue Charles Martigny, 94700 Maisons-Alfort, France",4.9,244,+33 9 84 28 91 79,https://www.speed-moto-bike-94.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,48.790667,2.4359402,ChIJJWdp6UZz5kcR-1RCrk2U2ZM,2025-10-25T02:56:34.106804
"Paris, France",PARIS MOTO SERVICES,"148 Rue Legendre, 75017 Paris, France",4.6,155,+33 9 52 45 27 57,https://www.parismotoservices.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.8899647,2.3241066,ChIJwVQNLg1v5kcRnY0XAOiNP5s,2025-10-25T02:56:34.106806
"Paris, France",Andrea Koben Motorcycle,"39 Av. du Groupe Manouchian, 94400 Vitry-sur-Seine, France",5,47,+33 7 67 47 20 10,http://www.andreakoben.com/,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,48.7909718,2.4038142,ChIJjQSssVpz5kcR4D99x7pQBKw,2025-10-25T02:56:34.106808
"Paris, France",Rollbiker,"87 bis Bd de la République, 92100 Boulogne-Billancourt, France",4.8,103,+33 1 46 08 55 49,https://www.rollbiker.com/,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.833278299999996,2.2447614,ChIJuTMDLOl65kcRUyEn4_IPsoU,2025-10-25T02:56:34.106810
"Paris, France",MECANIC2ROUES,"141 Av. Jean Jaurès, 75019 Paris, France",4.2,371,+33 1 48 03 19 19,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.88666,2.3843867999999997,ChIJmfrtbc9t5kcRYlQxtYAGOAE,2025-10-25T02:56:34.106812
"Paris, France",Dirty Riderz Shop,"69 Rue de la Glacière, 75013 Paris, France",3.8,21,+33 1 45 89 15 77,https://www.dirtyriderzshop.com/,Motorcycle repair shop,Closed ⋅ Opens 11 AM,48.8297591,2.3438426,ChIJu2fqmsFx5kcRL0SwRE5KbBY,2025-10-25T02:56:34.106813
"Paris, France",Doc'Biker Garibaldi,"76 Bd Garibaldi, 75015 Paris, France",4.4,99,+33 1 53 86 89 05,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.8455078,2.3087803,ChIJLRKelTpw5kcRwTfpyLgSlVo,2025-10-25T02:56:34.106815
"Paris, France",MICHAEL RÉPARATIONS CLAMART,"221 Avenue du Général de Gaulle, 92140 Clamart, France",4.9,520,+33 7 68 35 91 24,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM,48.787393099999996,2.2568984999999997,ChIJK16iTdR75kcRlHuZ9svRaNE,2025-10-25T02:56:34.106816
"Paris, France",SSMotoScoot,"17 Rue des Ecoles, 94140 Alfortville, France",5,3,+33 6 13 14 15 25,https://ssmotoscoot.fr/,Motorcycle repair shop,Closed ⋅ Opens 10 AM,48.803334299999996,2.415494,ChIJJ9dIJ7wN5kcRhYkPM-TGHNA,2025-10-25T02:56:34.106818
"Paris, France",SO BIKE,"37 Rue Pasteur, 93400 Saint-Ouen-sur-Seine, France",4.4,46,+33 6 51 73 15 99,N/A,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,48.9021276,2.3292743,ChIJPRObBftv5kcRuhmTqTOEZV8,2025-10-25T02:56:34.106820
"Paris, France",BIKE SHOP - Atelier et Préparateur - Thermique et Electrique,"81 B Rue de Silly, 92100 Boulogne-Billancourt, France",3.7,120,+33 1 49 09 17 18,https://bikeshop92.com/,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM,48.8360147,2.2325975,ChIJ32AsSeB65kcRi3sb5xnYYrw,2025-10-25T02:56:34.106821
"Paris, France",Ride Bike,"87 Bd Charles de Gaulle, 92700 Colombes, France",4.8,211,+33 9 88 30 19 24,https://ridebike.fr/,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,48.9120771,2.2317589,ChIJW4WJnQVv5kcRKSIXXE7SIvo,2025-10-25T02:56:34.106822
"Paris, France",Bike Occaz,"115 Av. de Rosny, 93130 Noisy-le-Sec, France",4.5,135,+33 7 45 55 91 32,N/A,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM Mon,48.8946397,2.4703540999999998,ChIJb9KQFCgT5kcRojjGuThTYtA,2025-10-25T02:56:34.106824
"Paris, France",By Scoot,"19 Rue Jouffroy d'Abbans, 75017 Paris, France",4.8,19,+33 1 75 51 83 95,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.886406799999996,2.3113791999999997,ChIJU69VLvZv5kcRPpkkrjEaVZU,2025-10-25T02:56:34.106825
"Paris, France",D-RIDE,"16 Bis Av. Gabriel Péri, 93400 Saint-Ouen-sur-Seine, France",4.8,231,+33 1 85 43 00 85,http://www.d-ride.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,48.9107498,2.3332166,ChIJWUhNVBtv5kcRDDlGSaUrkjo,2025-10-25T02:56:34.106827
"Paris, France",Systeme bike,"40 Bd du Temple, 75011 Paris, France",4.7,198,+33 1 48 05 82 77,http://www.systemebike.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.8655599,2.3657182,ChIJ49kQZv1t5kcRPS_yNnGaW5o,2025-10-25T02:56:34.106828
"Paris, France",MécaServices,"23 Rue Gabriel Péri, 92120 Montrouge, France",4.8,137,+33 1 47 46 97 97,http://mecaservices92.com/,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.817896,2.322612,ChIJm3p1RKpx5kcR8WG5msU9Ook,2025-10-25T02:56:34.106830
"Paris, France",Moto's Cool,"ZA Les jardins d, 71 Rue Etienne Dolet, 94140 Alfortville, France",4.7,325,+33 1 43 76 26 38,https://www.motoscool.fr/,Motorcycle repair shop,Closed ⋅ Opens 10 AM,48.7937428,2.4265315999999997,ChIJwTfAInN75kcR6RCLwpUtd90,2025-10-25T02:56:34.106832
"Paris, France",Répar'Scoot,"209 Rue Saint-Maur, 75010 Paris, France",5,135,+33 1 48 03 52 96,N/A,Motorcycle repair shop,Closed ⋅ Opens 10 AM Mon,48.872607599999995,2.3711051999999997,ChIJq6o6pOFt5kcRSnK7oVrJlWA,2025-10-25T02:56:34.742023
"Paris, France",Atelier AMMS,"39 Ave Parmentier, 75011 Paris, France",4.8,150,+33 1 43 55 99 48,N/A,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,48.8623939,2.3762909,ChIJnXuYwTxt5kcRMnMtE0vye98,2025-10-25T02:56:34.742040
"Paris, France",Fairplay Moto,"Non visible depuis la rue, 179 Rue de Charonne, 75011 Paris, France",5,61,+33 7 67 21 34 24,http://www.fairplaymoto.fr/,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM Mon,48.856109599999996,2.3925337,ChIJu0SMR1pt5kcRTk1x1HLuQ7Q,2025-10-25T02:56:34.742044
"Paris, France",City Bikes 75,"62 Rue de Maubeuge, 75009 Paris, France",4.7,62,+33 1 49 70 01 20,N/A,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM Mon,48.878983299999994,2.3474721,ChIJo9H0YWpu5kcRoFO1BlMiIbk,2025-10-25T02:56:34.742047
"Paris, France",Scootomax,"23 Av. de la République, 93170 Bagnolet, France",4.7,77,+33 6 67 76 38 32,N/A,Motorcycle repair shop,Closed ⋅ Opens 9:30 AM,48.8627671,2.415663,ChIJyYx6XjRt5kcRm5SInRkhT9s,2025-10-25T02:56:34.742050
"Paris, France",Atelier Dynamic Sport,"21 Rue Turgot, 75009 Paris, France",4.5,161,+33 1 42 81 39 70,http://www.dynamicmotos.com/,Motorcycle repair shop,Closed ⋅ Opens 8:30 AM Mon,48.8807994,2.3449974,ChIJOWJPjUFu5kcRSGnblpMXSE4,2025-10-25T02:56:34.742054
"Paris, France",Voiture,"95 Rue Louis Rouquier, 92300 Levallois-Perret, France",N/A,0,N/A,N/A,Motorcycle repair shop,N/A,48.8923038,2.2903496,ChIJOSeFHwBv5kcRchGpwlWeTFk,2025-10-25T02:56:34.742058
"Paris, France","- ADM - L’Art Du Motocycle - Garage multimarque, Atelier spécialiste Kymco - Concessionnaire scooter électriques -","119 Bd Saint-Michel, 75005 Paris, France",5,124,+33 1 43 54 00 07,http://lartdumotocycle.fr/,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.8430286,2.3387822,ChIJbW-JWt1x5kcRtwtFwEh2ssA,2025-10-25T02:56:34.742062
"Paris, France",Réparation velo a domicile,"60 Rue Arago, 93400 Saint-Ouen-sur-Seine, France",5,1,N/A,N/A,Motorcycle repair shop,N/A,48.903140199999996,2.3238026,ChIJl7I2BwBv5kcRvfXQH91BtDA,2025-10-25T02:56:34.742065
"Paris, France",Bike-Up,"20 Grande Rue, 92310 Sèvres, France",4.6,125,+33 1 84 19 06 04,N/A,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,48.8262836,2.2183235999999997,ChIJyfrpgw975kcRb7fFrw9SOa0,2025-10-25T02:56:34.742068
"Paris, France",Pompe velo libre service,"1 Rue Ernest Deloison, 92200 Neuilly-sur-Seine, France",N/A,0,N/A,N/A,Motorcycle repair shop,Open 24 hours,48.876697899999996,2.2505227999999997,ChIJ23iWfQBl5kcRa5ehq5TBNuw,2025-10-25T02:56:34.742072
